	AA	AB	BB	AS	BS	SS_inter	SS_intra	AA_attr	BB_attr	lambda	d_S	d_AB	SS_attr	AB_compScore
0	0.9851408782515644	0.5824206277559211	1.2927756763161367	1.0666395429572217	0.42182291639604674	1.2680478083577367	1.0230032285354733	0.0	0.12	0	0	0	0	0.5927608595551759
1	1.0197549573797913	0.5335069763795447	1.3757045751273655	1.0875460626610862	0.36717812341889444	1.3005378907532659	1.0676586494451243	0.0	0.14	0	0	0	0	0.6357029178989619
2	1.0477119373390376	0.49019810684055426	1.4202361613340813	1.1457396110127278	0.320107975092675	1.3447843548865028	1.1033882526549115	0.0	0.16	0	0	0	0	0.6685774990249795
3	1.0705536857883675	0.4586155511108664	1.4864715867940264	1.1417524464128102	0.2781078038492006	1.3900868052813797	1.126236607995229	0.0	0.18	0	0	0	0	0.6958420595001767
4	1.0074508016261805	0.5609048749292661	1.3119825726254601	1.0613912026650716	0.4236022162519674	1.279569561224454	1.0521439107811779	0.02	0.12	0	0	0	0	0.6105284682528013
5	1.0555938715900672	0.5160460376422584	1.3837567348273152	1.081400346255665	0.3559798968528559	1.3552933458640897	1.0837221131092978	0.02	0.14	0	0	0	0	0.650777137695197
6	1.0861340882130108	0.4714202160623818	1.4373643482099971	1.127049571957322	0.314109746237482	1.3823186516022077	1.1069525610845192	0.02	0.16	0	0	0	0	0.6851866305809909
7	1.10690683593028	0.44485091663448567	1.4879331067106414	1.13631369261279	0.2760438382890683	1.4162793043500164	1.1350444826551973	0.02	0.18	0	0	0	0	0.7073051588275473
8	1.0017822574359194	0.6037814927967399	1.2190124019433668	0.985597727347328	0.532134272727887	1.2051398252627825	1.0258499798387504	0.04	0.1	0	0	0	0	0.5724799330819298
9	1.035932805351787	0.5463526482352361	1.3394821531872574	1.0224526326344605	0.43049401597862896	1.258088204835006	1.0923478355881482	0.04	0.12	0	0	0	0	0.6260122489081696
10	1.0752943677582265	0.4963899627213613	1.383770438888587	1.0886381069827165	0.36530390706214916	1.3962671645019813	1.1222779851694722	0.04	0.14	0	0	0	0	0.664085562826948
11	1.1197065939925177	0.4600764639451932	1.4515484479495202	1.1049520390055778	0.30795266917982095	1.4095580316241587	1.1333675926319848	0.04	0.16	0	0	0	0	0.6964525568703612
12	1.1261671239877742	0.42981748182129087	1.5102782096364287	1.1099754953210406	0.27722335633598977	1.455411700575749	1.1921749166194762	0.04	0.18	0	0	0	0	0.7196473311705716
13	1.012320653224795	0.6303016633938072	1.1577142877583826	0.9278552458969032	0.5962543495990837	1.1720103468762217	1.036115784916471	0.06	0.08	0	0	0	0	0.5498386426770036
14	1.0580932525943152	0.5643927785797646	1.2595574901338653	0.9856831538724943	0.5071933588384496	1.2300466236772658	1.0761469962712367	0.06	0.1	0	0	0	0	0.6083384762186876
15	1.0924095995079421	0.5175420537009918	1.341955631203613	1.018352657859395	0.4241937739213254	1.3620312837124409	1.1132602605808093	0.06	0.12	0	0	0	0	0.6493507391415332
16	1.126588526053787	0.4769004770662914	1.427510172132837	1.0419338023546048	0.3542106644643662	1.3706832210211977	1.1573385630892388	0.06	0.14	0	0	0	0	0.6853179763557689
17	1.131810039562208	0.4474272488879741	1.4724493094859548	1.0730154290449037	0.3123324484371756	1.4569800336345131	1.1777648326095322	0.06	0.16	0	0	0	0	0.7067672354097106
18	1.1711788354401869	0.42044772002291364	1.5079693994268113	1.0927450334999018	0.27535089096616255	1.4551276597731624	1.204660318171514	0.06	0.18	0	0	0	0	0.7287080470216664
19	1.0070109964186011	0.6986166643284539	0.9796814231600789	0.7964492385497215	0.8203554429342853	0.9835516019272781	0.9184255653667583	0.08	0.04	0	0	0	0	0.4796750448466332
20	1.0483649920982494	0.6447667288830299	1.092623869971134	0.8283412751057602	0.7196842947912276	1.039668107607029	0.9985628060026771	0.08	0.06	0	0	0	0	0.5370974173203811
21	1.0676331262290917	0.5960789915471136	1.1726469590344428	0.8827116960672495	0.6396119946713313	1.1667456625212578	1.0110444916224544	0.08	0.08	0	0	0	0	0.5796872149083632
22	1.0995581124988791	0.5421194539299492	1.2803680067621155	0.9465578181470553	0.5170608578632891	1.2826489099520029	1.1025706514491822	0.08	0.1	0	0	0	0	0.6289452437677474
