	AA_attr	BB_attr	SS_attr	lambda	d_S	d_AB	AA	AB	BB	AS	BS	SS_inter	SS_intra	d_ratio	AB_compScore	lod_S	MSE	Euc_dist	rank	rank_color	index
0	0.14	0.04	0	55	19	190	1.1464634339390407	0.7695567542773148	1.0740826615443402	0.6820562378541761	0.7444164453780938	0.743929184138542	1.7400569754514457	10.0	0.48526402405261465	2.8947368421052633	0.009509241688813943	0.25800134073624037	32.0	r	45
1	0.14	0.06	0	55	19	190	1.1351324536712624	0.7377671038865468	1.0954685130966277	0.6721071643963622	0.6811220820964083	0.7480718159660104	1.7624828575587237	10.0	0.502914001009389	2.8947368421052633	0.005636809412999532	0.19863953758251837	9.0	r	46
2	0.14	0.08	0	55	19	190	1.1078461412207152	0.7140222239087182	1.1586433655987054	0.6653572514679679	0.6460661082898668	0.7469541117262607	1.7801368193899798	10.0	0.5208727303117962	2.8947368421052633	0.004205744113233193	0.17158149315305643	4.0	r	47
3	0.16	0.06	0	55	19	190	1.2186054910162591	0.7080410172480543	1.088804641425722	0.6571112152570774	0.6879017499828013	0.7531111013579682	1.7728335024942266	10.0	0.5303913198389333	2.8947368421052633	0.004345010589849153	0.17439918041362484	6.0	r	55
4	0.16	0.08	0	55	19	190	1.1854882723104292	0.6808639128992717	1.1432691005895352	0.6556022830746117	0.6426963406658434	0.7541956189739053	1.7964031454153793	10.0	0.5475418012811794	2.8947368421052633	0.0023995864409803746	0.12960364611716224	1.0	r	56
5	0.16	0.1	0	55	19	190	1.1979422141901532	0.6560945921737336	1.2051356987215174	0.6924328484830204	0.6226628923543583	0.8169161344125794	1.8138905109890884	10.0	0.5710640108832848	2.8947368421052633	0.004650146905107828	0.18041903540301615	7.0	r	57
6	0.18	0.06	0	55	19	190	1.295407128714649	0.6639435783201416	1.081793666451338	0.6378093069820066	0.7047494357646323	0.7785267639613968	1.797394643017486	10.0	0.563359382666171	2.8947368421052633	0.006175069854546573	0.20790740482682674	10.0	r	63
7	0.18	0.08	0	55	19	190	1.2814682412663332	0.6516363059226254	1.1537307281370173	0.639368705755717	0.6579051696014724	0.7526690701890265	1.8173090491348087	10.0	0.5777965146819755	2.8947368421052633	0.0030318790722267106	0.1456816855530817	2.0	r	64
8	0.18	0.1	0	55	19	190	1.2764219813708133	0.6334185272481185	1.2078443375044468	0.6571325766229267	0.6171793915605921	0.7864273530806034	1.8408410931068726	10.0	0.5936609641377127	2.8947368421052633	0.0037878375899994235	0.16283385130247327	3.0	r	65
9	0.2	0.12	0	55	19	190	1.3271298925810682	0.5672393674763277	1.2249060508629537	0.6464359967187605	0.5636307836451743	0.8262732933231223	1.8849733373126862	10.0	0.63630054359712	2.8947368421052633	0.008562972487718812	0.24482811810335772	22.0	r	74
10	0.14	0.06	0	55	37	185	1.1320662451307313	0.7173256639036865	1.0592838994555436	0.7019077986543723	0.7292335234871165	0.817971470771742	1.6219367271153222	5.0	0.506768226414283	1.4864864864864864	0.014512098333593484	0.31872352962270356	104.0	r	226
11	0.14	0.08	0	55	37	185	1.1683586199474656	0.6996962709389978	1.1042880637970922	0.7351605762101814	0.6942167230166244	0.8725147901911822	1.6493624755238387	5.0	0.5291954652564718	1.4864864864864864	0.013360399529064343	0.3058149713526962	84.0	r	227
12	0.14	0.1	0	55	37	185	1.1111544244336968	0.6480682777612558	1.1504418629058974	0.724358791284822	0.6347187392500929	0.9325054882168489	1.687077142122586	5.0	0.5545409010135892	1.4864864864864864	0.014619053227589775	0.31989587773700434	107.0	r	228
13	0.16	0.06	0	55	37	185	1.1798551065041487	0.6794436939926284	1.08575110796764	0.6720997218325162	0.7317275381475654	0.8513958783952977	1.6540624802155632	5.0	0.5385859560207602	1.4864864864864864	0.012054262386331876	0.29048207639082163	64.0	r	235
14	0.16	0.08	0	55	37	185	1.1816713768393163	0.6530242885583198	1.1028363197276798	0.6748947550122948	0.6847805897609649	0.8585791012484775	1.6792897161654483	5.0	0.5553925595601904	1.4864864864864864	0.009491748708066905	0.25776392485463967	31.0	r	236
15	0.16	0.1	0	55	37	185	1.199472903836433	0.6366302429951882	1.1838826844744599	0.7173111971456985	0.6511564228257444	0.913196011612278	1.7104373601849836	5.0	0.5783885895121178	1.4864864864864864	0.011292866098944282	0.2811584298800411	53.0	r	237
16	0.18	0.06	0	55	37	185	1.2616934412753007	0.6489471692692198	1.072058250383353	0.6411354840853003	0.7197363844111927	0.8530596471185202	1.6676404538770977	5.0	0.5648590759394718	1.4864864864864864	0.011038826452961814	0.27797803001448285	49.0	r	243
17	0.18	0.08	0	55	37	185	1.3102574653905563	0.6410799068937687	1.1389903042357172	0.6827575278226521	0.7226741004977201	0.8957131334461286	1.7034934327492393	5.0	0.5851055460787407	1.4864864864864864	0.012847870329568672	0.29989180099992846	75.0	r	244
18	0.18	0.1	0	55	37	185	1.2975664366934139	0.6157983632368923	1.197430133973613	0.6998123933885928	0.6675606247576483	0.9371388376158283	1.7308043631563654	5.0	0.6040893878761138	1.4864864864864864	0.013463247204133302	0.30698978880238526	86.0	r	245
19	0.12	0.06	0	55	37	370	1.1102270242033736	0.711522791235947	1.0822496352608741	0.6825204538220069	0.6739012417189933	0.7627255688922147	1.8539508326697016	10.0	0.5099704367613507	1.4864864864864864	0.007473116776986606	0.22871776808745367	15.0	r	307
20	0.12	0.08	0	55	37	370	1.169132208292486	0.6824963929384932	1.1588251649865358	0.7467553980146505	0.6586518289636989	0.8911790917702683	1.8829043492173219	10.0	0.5465823786451861	1.4864864864864864	0.012110721295258475	0.29116155149128004	67.0	r	308
21	0.14	0.04	0	55	37	370	1.1580144783840363	0.7032566139739533	1.0597860715570313	0.6593124673368045	0.7549470637646951	0.8041642313355141	1.8590807329152867	10.0	0.5184917141221599	1.4864864864864864	0.010927746514296977	0.2765758948283072	46.0	r	315
22	0.14	0.06	0	55	37	370	1.177337097812322	0.6658974977389225	1.0889084631491308	0.6831074807653987	0.7118882691721601	0.8392420025111927	1.8773272866809785	10.0	0.5457946734467515	1.4864864864864864	0.010049807349315678	0.2652332020038399	38.0	r	316
23	0.14	0.08	0	55	37	370	1.199030980593028	0.6503516620414255	1.1795999746183632	0.7122728336387982	0.6529251641329629	0.9236103241138696	1.9222283171085985	10.0	0.5705807895119107	1.4864864864864864	0.013779810777719127	0.31057796999148846	95.0	r	317
24	0.16	0.06	0	55	37	370	1.2605419082537186	0.6372370844465972	1.115186599691684	0.6543530733339836	0.7162618770546023	0.8704169796308283	1.9196676670783022	10.0	0.5770034108217656	1.4864864864864864	0.012070300311273513	0.290675252092287	65.0	r	325
25	0.16	0.08	0	55	37	370	1.3088114679094007	0.6193709403685955	1.195852155724916	0.6862903588600032	0.6524559367133381	0.9051269830166699	1.959267193737362	10.0	0.6034800974961184	1.4864864864864864	0.015007757702706712	0.3241208168553001	113.0	r	326
26	0.18	0.06	0	55	37	370	1.3435373806170312	0.6068594750107383	1.1584808802873259	0.6079676111082982	0.7050921111051538	0.8460433225390229	1.9567104811251044	10.0	0.6095957920763264	1.4864864864864864	0.01361958212954316	0.3087670236712498	87.0	r	333
27	0.14	0.06	0	55	55	275	1.1589194512611594	0.6727516018347611	1.0705731117737551	0.7173683603833376	0.7181592937302156	0.9283676303323155	1.6694024747803147	5.0	0.5363921409658716	1.0	0.01723592340458147	0.3473491958131907	167.0	r	496
28	0.14	0.08	0	55	55	275	1.184100322343438	0.6612008291228443	1.1274823292700316	0.7228234969775679	0.702772280271159	0.9355224126809116	1.6944681074581043	5.0	0.5551638163980414	1.0	0.015064459428733764	0.3247325299398512	116.0	r	497
29	0.16	0.06	0	55	55	275	1.2422763661743101	0.6520874685486859	1.0860620678052038	0.6731437851312271	0.7386512796540264	0.9006775259662291	1.677525360017077	5.0	0.5624199427366801	1.0	0.014102352175160511	0.31419176505141505	99.0	r	505
30	0.16	0.08	0	55	55	275	1.2420154811607613	0.634117579224106	1.1556507889086123	0.6993107671415364	0.7153105554171484	0.9602927940972694	1.7309757192984532	5.0	0.5816868149278653	1.0	0.015739327516270333	0.3319266373973206	135.0	r	506
31	0.12	0.06	0	55	55	550	1.1312279098485016	0.6797712383687573	1.0983324665128034	0.7031965996107175	0.68127887337049	0.8641010231613964	1.851307371761302	10.0	0.5326959395573552	1.0	0.010562989781210988	0.27192081286373965	43.0	r	577
