	AA	AB	BB	AS	BS	SS_inter	SS_intra	AA_attr	BB_attr	SS_attr	d_S	d_AB	comp_score	d_ratio	S smoothness
0	1.0275976235733262	1.048105156726919	1.1850788353617947	0.984196219381433	1.0650904258310763	0.9809863320410939	1.2323859338167276	0.025	0.025	0.0	50	50.0	0.015302837960617531	1.0	0.038912543830277396
1	1.0394266082457575	0.9736968174285393	1.313136734490685	0.9364637092888682	0.9915885148077029	0.9838571989866182	1.2535439039658278	0.05	0.05	0.0	50	50.0	0.06967933372077711	1.0	0.024369061199136708
2	1.2299951989936595	0.8169385958117623	1.4820562244903905	0.9726128782501021	0.880440202601809	1.2668614072481978	1.3118890164527237	0.1	0.1	0.0	50	50.0	0.19686267904924698	1.0	0.16478920755993262
3	1.5281169517358268	0.7147897964736298	2.1462577884922247	0.9551254141362029	0.7166600534737042	1.5124953256436071	1.3858941221518564	0.15	0.15	0.0	50	50.0	0.3697517681565793	1.0	0.3334800888474637
4	2.1500920108538732	0.713516565620185	3.3678169213067983	1.0282057728549034	0.5304340613069659	2.2138003039134517	1.4996069206082776	0.2	0.2	0.0	50	50.0	0.5457443187485209	1.0	0.7060951285957926
5	1.0901029886737426	1.0808436580284104	1.2411446733729679	1.0313908564615613	1.1062190195932258	1.1188516412366878	1.2691536566419575	0.025	0.025	0.0	100	100.0	0.03473703738271307	1.0	0.038597964829374776
6	1.1167462370807109	0.961613787474846	1.337878068495302	0.9689011196536791	0.9945048600087227	1.065337370727471	1.3029174086923119	0.05	0.05	0.0	100	100.0	0.09231088008356143	1.0	0.040787725027209794
7	1.3264353568025617	0.7582362000293331	1.6999506059505303	0.9476410525101367	0.810080997768542	1.335656153723691	1.391403380744975	0.1	0.1	0.0	100	100.0	0.26840415349261537	1.0	0.22253782000359065
8	1.5613542003441687	0.5908200780854767	2.3825335061794664	0.8397147822397588	0.5146066214892049	1.641450323016569	1.5373650047517107	0.15	0.15	0.0	100	100.0	0.48339505369305963	1.0	0.47355064509196937
9	2.0493429473299867	0.4876876148028406	3.2341213866596847	0.8158622535855649	0.26436800198714555	2.493443912119886	1.6214793077233705	0.2	0.2	0.0	100	100.0	0.6644308089136932	1.0	0.9479337496618029
10	1.1223829961975536	1.0695522488043812	1.2326716073595356	1.079749033061633	1.114053299473561	1.2573452172554525	1.2754385559872676	0.025	0.025	0.0	200	200.0	0.0507646461839467	1.0	0.07691969913551108
11	1.1215640426699416	0.8967030679081597	1.2877101340271737	0.9592746359698487	0.9553133120744898	1.1854842809113295	1.321880071914532	0.05	0.05	0.0	200	200.0	0.12230118497983426	1.0	0.10758209808061532
12	1.3607872560552459	0.5911403599527713	1.6324572716643613	0.9117157491890551	0.6368214751302858	1.6101069264447403	1.4555948990151435	0.1	0.1	0.0	200	200.0	0.36536604778785003	1.0	0.40968845454934294
13	1.6675699939567357	0.3904701069296902	2.234343073254037	0.831431701103465	0.3456782451163327	2.6055701935105655	1.5787670665960507	0.15	0.15	0.0	200	200.0	0.6117479226554672	1.0	0.9712898313674946
14	1.8836381808694136	0.31350913043936557	3.1196061394256085	0.6249132799939123	0.25652179519729634	2.2451106805255967	1.7186086288242233	0.2	0.2	0.0	200	200.0	0.7169485111418142	1.0	0.8637925199446871
15	1.1199736535810343	1.0429678434818725	1.232288742134897	1.0629668503890177	1.0689283855292377	1.2550093407208558	1.2640734797554596	0.025	0.025	0.0	400	400.0	0.06375701291383136	1.0	0.08915777518229327
16	1.1519703684912308	0.8270938262799385	1.2951791189110564	0.9417554374596075	0.8982613667664083	1.1253165137230932	1.3267197538953155	0.05	0.05	0.0	400	400.0	0.14509884629507647	1.0	0.09839853356178972
17	1.4439525167559095	0.48467085052526304	2.0925052441754834	0.8130015276733853	0.46365660248712287	1.6331501671411581	1.5116877998350267	0.1	0.1	0.0	400	400.0	0.4917486614370832	1.0	0.49017013660127756
18	1.8337549755342029	0.3439261635826121	3.0343341588752617	0.6022521526131325	0.19439869854749273	2.484765985322915	1.6345700639853644	0.15	0.15	0.0	400	400.0	0.7314214096999655	1.0	0.9975517295786362
19	2.202516549269698	0.2675951069330573	3.4432991192559985	0.5574045311935785	0.13409579531971202	3.4378785405291343	1.7152549563155235	0.2	0.2	0.0	400	400.0	0.8089982031710695	1.0	1.4678518405353937
20	1.087297093398245	0.958285494570593	1.2162214266989717	1.0089406238205911	1.0128235410245214	1.068435698566601	1.2414943523057949	0.025	0.025	0.0	1000	1000.0	0.061697783372040654	1.0	0.027177304730092892
21	1.2156958588759799	0.7534963222089389	1.378221866342756	0.9371833392411485	0.8373202962418622	1.2004108046640503	1.322216680724384	0.05	0.05	0.0	1000	1000.0	0.20029465009284958	1.0	0.15315063144801275
22	1.678539737493116	0.34915375500685164	2.566261443088089	0.7024811873121611	0.14353719329452744	2.5414186581493516	1.55448814063373	0.1	0.1	0.0	1000	1000.0	0.7005103522154082	1.0	1.0243667382334742
23	1.9841462852152005	0.2591893290790191	2.9345252225700205	0.5994716097321878	0.08290816783434875	3.5218116203249656	1.6566297514632817	0.15	0.15	0.0	1000	1000.0	0.799282911012258	1.0	1.5141174870959804
24	2.2192316272726003	0.23004616743992926	3.6647103581687483	0.48123485926544796	0.13482535184437347	3.2975134316854566	1.796628216772128	0.2	0.2	0.0	1000	1000.0	0.831243846552099	1.0	1.4163340956565247
